Experiment 1,,,,,,,,,,,,,
Path 3,0.929248434,0.978997912,0.879248434,1.189248434,54.75091934,63.28213215,91.4542675,52.6112318,0.52246604,0.439266616,0,0.009591406,70.93743903
,,,,,,,,,,,,,
Experiment 13,,,,,,,,,,,,,
Path 1,0.519251948,0.81950078,31.9827795,108.8951826,0.095383441,2.549169372,33.60683767,,,,,,
Path 2,0.849002597,0.829002079,1.049251559,94.41995621,122.9236126,23.24354649,2.652494494,2.891992918,3.555510535,39.58871023,,,
Path 3,0.619251948,0.79925117,0.98900156,1.139002079,18.78380775,76.59447193,92.2999382,46.28038406,4.386887126,2.229108357,0.071567324,0.306936771,39.97167841
,,,,,,,,,,,,,
Experiment 14,,,,,,,,,,,,,
Path 1,0.839248826,0.898997912,137.5459433,44.26717758,0.258571155,3.27412386,55.34990457,,,,,,
Path 2,0.899248826,1.168996865,0.838996341,83.45913887,56.73885345,27.3296833,1.140795632,1.459710031,5.424882394,48.25812099,,,
Path 3,0.889499218,1.129248826,1.039248042,0.978997389,97.01347351,57.93631077,99.14445877,52.65247822,1.044932079,4.367860228,2.911062036,1.426799007,41.68440117
,,,,,,,,,,,,,
Experiment 15,,,,,,,,,,,,,
Path 1,0.869348121,1.169347826,166.8485403,189.1851425,0.536039054,3.647387162,51.06360338,,,,,,
Path 2,0.779348121,0.869348416,1.029348416,88.92989159,80.69574833,87.20755577,0.514334699,0.038295835,0.181974907,73.16993338,,,
Path 3,0.609130828,1.069348121,0.989348121,1.139565611,38.75625134,78.96327972,70.76227665,74.53358173,1.882465361,4.626022594,0.11232513,0.695154365,38.66277622
,,,,,,,,,,,,,
Experiment 16,,,,,,,,,,,,,
Path 1,0.559000521,0.889000521,66.54453278,96.24862671,6.056284465,4.392267989,22.31029193,,,,,,
Path 2,0.779000521,0.82925,0.888958876,96.60506248,41.76664352,75.05881786,1.428571429,0.057971014,0.174013921,65.93950841,,,
Path 3,0.63925,0.80925,0.95925,0.91925,92.13554859,46.39577866,37.28604317,50.11212826,4.51542936,3.138874548,0.51167253,1.810778956,35.47139597
,,,,,,,,,,,,,
Experiment 17,,,,,,,,,,,,,
Path 1,0.539246468,0.879246073,110.5955839,28.09333801,0.238254074,0.993504012,43.41431014,,,,,,
Path 2,0.909246468,1.039246468,1.059246468,32.23931789,45.5673933,3.287196159,0.477008205,1.370782209,3.061522014,54.80639196,,,
Path 3,0.70899529,0.92899529,0.939246468,0.908994764,77.91364193,67.0030117,8.668899536,30.16543388,1.554453557,1.172139882,0.215643991,0.225933202,56.29294514
,,,,,,,,,,,,,
Experiment 18,,,,,,,,,,,,,
Path 1,0.909249218,0.988998435,98.97005558,120.2663183,2.785727915,1.874386654,50.70573366,,,,,,
Path 2,0.538998957,0.848998957,0.938998957,48.78461361,78.77194881,123.487711,0.952834683,0.336700337,1.332046332,37.26420091,,,
Path 3,0.969248826,0.849248826,1.139249218,1.199249218,36.3162756,15.43545723,71.72608376,10.39493084,1.770334928,1.578178276,3.701870731,1.911810052,38.0524856
,,,,,,,,,,,,,
Experiment 19,,,,,,,,,,,,,
Path 1,0.669247649,0.949247256,165.7149792,109.0335846,5.022874571,0.070245861,43.77877119,,,,,,
Path 2,0.529247649,0.989247256,0.878996341,26.40247345,10.89739799,47.84548283,6.462848297,0.734381465,0.802334063,37.12011733,,,
