BW1,BW2,DL1,DL2,PL1,PL2,MPSNR
0.96 ,0.64 ,326,331,3.5 ,1.5 ,63.9444 
0.48 ,0.50 ,188,109,3.1 ,2.8 ,59.3356 
0.83 ,0.40 ,480,61,2.2 ,1.1 ,79.0889 
0.93 ,0.23 ,595,351,1.1 ,2.5 ,46.7627 
0.55 ,0.98 ,215,541,2.8 ,1.3 ,73.0652 
0.35 ,0.90 ,515,499,3.4 ,3.7 ,65.3173 
0.73 ,0.98 ,506,491,1.4 ,3.7 ,68.6719 
1.00 ,0.42 ,71,541,1.7 ,2.2 ,62.9431 
0.46 ,0.71 ,345,249,2.4 ,3.9 ,59.5659 
0.69 ,0.26 ,571,420,4.7 ,0.7 ,50.4137 
0.74 ,0.56 ,216,403,3.9 ,4.6 ,47.1468 
0.62 ,0.40 ,444,172,0.5 ,4.1 ,61.6522 
0.89 ,0.83 ,308,213,3.1 ,4.6 ,55.4223 
0.49 ,0.26 ,393,392,2.5 ,2.4 ,60.9351 
0.53 ,0.64 ,542,28,0.6 ,4.4 ,55.4456 
0.49 ,0.83 ,489,465,1.4 ,0.0 ,76.9535 
0.59 ,0.72 ,51,38,2.7 ,2.1 ,62.1534 
0.28 ,0.23 ,214,311,1.8 ,2.3 ,50.1750 
0.36 ,0.71 ,202,535,2.9 ,1.4 ,65.5773 
0.60 ,0.53 ,342,49,2.7 ,3.9 ,52.4604 
0.21 ,0.60 ,528,499,1.5 ,5.0 ,31.6983 
0.48 ,0.53 ,430,300,4.3 ,1.9 ,56.4897 
0.80 ,0.96 ,538,250,3.0 ,0.2 ,60.6132 
0.30 ,0.54 ,205,152,0.3 ,3.4 ,53.0264 
0.72 ,0.50 ,454,193,1.5 ,1.1 ,79.3477 
0.28 ,0.87 ,524,6,2.5 ,4.5 ,56.6406 
0.30 ,0.96 ,259,38,0.2 ,1.3 ,66.3658 
0.86 ,0.85 ,18,471,0.1 ,2.4 ,86.3424 
0.83 ,0.47 ,24,238,0.8 ,3.9 ,74.8501 
0.76 ,0.27 ,134,432,1.2 ,4.9 ,47.2843 
0.73 ,0.70 ,428,355,1.1 ,1.7 ,65.5883 
0.21 ,0.82 ,416,435,1.1 ,4.5 ,23.7633 
0.81 ,0.64 ,287,298,2.4 ,3.1 ,49.5829 
0.95 ,0.64 ,329,476,4.0 ,2.8 ,50.7773 
0.36 ,0.42 ,140,488,0.7 ,2.8 ,60.7514 
0.66 ,0.77 ,67,580,1.3 ,4.7 ,64.9669 
0.33 ,0.26 ,0,572,0.6 ,2.6 ,64.7351 
0.73 ,0.55 ,206,527,3.9 ,0.7 ,60.8349 
0.88 ,0.36 ,80,262,0.4 ,2.0 ,79.7294 
0.53 ,0.59 ,561,478,0.6 ,3.7 ,55.0387 
0.29 ,0.72 ,7,330,0.1 ,2.6 ,74.0254 
0.24 ,0.45 ,532,217,4.1 ,2.6 ,42.2512 
0.21 ,0.39 ,122,377,4.2 ,0.0 ,45.0328 
0.31 ,0.59 ,521,450,2.1 ,0.6 ,76.6929 
0.25 ,0.74 ,330,203,1.0 ,0.8 ,63.6745 
0.41 ,0.69 ,385,292,3.1 ,3.6 ,57.8717 
0.22 ,0.55 ,384,350,0.0 ,0.4 ,53.4710 
0.70 ,0.68 ,2,560,0.5 ,4.7 ,69.5600 
0.56 ,0.30 ,464,115,1.9 ,4.3 ,67.9735 
0.97 ,0.80 ,469,306,3.3 ,2.3 ,65.6739 
0.45 ,0.61 ,450,175,2.6 ,3.4 ,63.2086 
0.92 ,0.35 ,301,179,3.1 ,0.1 ,73.2650 
0.23 ,0.64 ,71,170,3.0 ,0.2 ,50.7084 
0.56 ,0.46 ,33,483,4.6 ,1.2 ,54.9223 
0.60 ,0.59 ,186,95,2.0 ,2.6 ,69.6732 
0.74 ,0.20 ,360,239,0.3 ,4.3 ,40.2216 
